dates,Close,Adj
7/18/1983,163.95,196.1878
7/19/1983,164.83,197.2409
7/20/1983,169.29,202.5779
7/21/1983,169.06,202.3026
7/22/1983,168.89,202.0992
7/25/1983,169.53,202.8651
7/26/1983,170.35,203.8463
7/27/1983,167.59,200.5436
7/28/1983,165.04,197.4922
7/29/1983,162.56,195.2305
8/1/1983,162.04,194.606
8/2/1983,162.01,194.57
8/3/1983,163.44,196.2874
8/4/1983,161.33,193.7533
8/5/1983,161.74,194.2457
8/8/1983,159.18,191.1712
8/9/1983,160.13,192.3122
8/10/1983,161.54,194.0055
8/11/1983,161.55,194.0176
8/12/1983,162.16,194.7501
8/15/1983,163.71,196.6117
8/16/1983,163.41,196.2514
8/17/1983,165.29,198.5092
8/18/1983,163.55,196.4195
8/19/1983,163.98,196.9359
8/22/1983,164.34,197.3683
8/23/1983,162.77,195.4827
8/24/1983,161.25,193.6573
8/25/1983,160.84,193.1649
8/26/1983,162.14,194.7261
8/29/1983,162.25,194.8582
8/30/1983,162.58,195.2546
8/31/1983,164.4,198.1609
9/1/1983,164.23,197.956
9/2/1983,165,198.8841
9/6/1983,167.89,202.3676
9/7/1983,167.96,202.452
9/8/1983,167.77,202.223
9/9/1983,166.92,201.1984
9/12/1983,165.48,199.4627
9/13/1983,164.8,198.6431
9/14/1983,165.36,199.3181
9/15/1983,164.38,198.1368
9/16/1983,166.24,200.3788
9/19/1983,167.62,202.0422
9/20/1983,169.25,204.0069
9/21/1983,168.41,202.9944
9/22/1983,169.76,204.6216
9/23/1983,169.51,204.3203
9/26/1983,170.07,204.9953
9/27/1983,168.43,203.0185
9/28/1983,168.01,202.5123
9/29/1983,167.23,201.5721
9/30/1983,166.07,200.8971
10/3/1983,165.8,200.5705
10/4/1983,166.27,201.139
10/5/1983,167.74,202.9173
10/6/1983,170.28,205.99
10/7/1983,170.8,206.619
10/10/1983,172.65,208.857
10/11/1983,170.34,206.0626
10/12/1983,169.63,205.2037
10/13/1983,169.88,205.5061
10/14/1983,169.86,205.4819
10/17/1983,170.43,206.1714
10/18/1983,167.81,203.002
10/19/1983,166.73,201.6955
10/20/1983,166.98,201.9979
10/21/1983,165.95,200.7519
10/24/1983,165.99,200.8003
10/25/1983,166.47,201.381
10/26/1983,165.38,200.0624
10/27/1983,164.84,199.4091
10/28/1983,163.37,197.6309
10/31/1983,163.55,198.5744
11/1/1983,163.64,198.6837
11/2/1983,164.84,200.1407
11/3/1983,163.45,198.453
11/4/1983,162.44,197.2267
11/7/1983,161.91,196.5832
11/8/1983,161.76,196.4011
11/9/1983,163.97,199.0844
11/10/1983,164.41,199.6186
11/11/1983,166.29,201.9012
11/14/1983,166.58,202.2533
11/15/1983,165.36,200.772
11/16/1983,166.08,201.6462
11/17/1983,166.13,201.7069
11/18/1983,165.09,200.4442
11/21/1983,166.05,201.6098
11/22/1983,166.84,202.569
11/23/1983,166.96,202.7147
11/25/1983,167.18,202.9818
11/28/1983,166.54,202.2047
11/29/1983,167.91,203.8681
11/30/1983,166.4,202.7633
12/1/1983,166.49,202.8729
12/2/1983,165.44,201.5935
12/5/1983,165.77,201.9956
12/6/1983,165.47,201.63
12/7/1983,165.91,202.1662
12/8/1983,165.2,201.301
12/9/1983,165.09,201.167
12/12/1983,165.62,201.8128
12/13/1983,164.93,200.972
